Wavelength	k_Cardona	
205.25486	0.44602
205.23787	0.44605
205.22089	0.44608
205.2039	0.44612
205.18693	0.44618
205.16995	0.44624
205.15298	0.44631
205.13601	0.4464
205.11904	0.44649
205.10208	0.4466
205.08512	0.44671
205.06816	0.44683
205.0512	0.44697
205.03425	0.44711
205.0173	0.44727
205.00036	0.44742
204.98341	0.44759
204.96647	0.44774
204.94919	0.44791
204.93226	0.44807
204.91532	0.44823
204.89839	0.44839
204.88147	0.44855
204.86454	0.44872
204.84762	0.44888
204.8307	0.44904
204.81378	0.44921
204.79687	0.44937
204.77996	0.44954
204.76305	0.44971
204.74615	0.44987
204.72925	0.45004
204.71235	0.45021
204.69545	0.45038
204.67856	0.45055
204.66166	0.45071
204.64478	0.45089
204.62789	0.45106
204.61101	0.45123
204.59413	0.4514
204.57725	0.45157
204.56038	0.45174
204.54351	0.45192
204.52664	0.45209
204.50977	0.45227
204.49291	0.45244
204.47605	0.45262
204.45919	0.45279
204.44233	0.45297
204.42548	0.45315
204.40863	0.45332
204.39179	0.4535
204.37494	0.45368
204.3581	0.45386
204.34126	0.45404
204.32443	0.45422
204.30759	0.45441
204.29077	0.45459
204.2736	0.45478
204.25678	0.45498
204.23996	0.45517
204.22314	0.45537
204.20632	0.45558
204.18951	0.45578
204.1727	0.45599
204.15589	0.4562
204.13908	0.45641
204.12228	0.45663
204.10548	0.45685
204.08869	0.45707
204.07189	0.4573
204.0551	0.45752
204.03831	0.45775
204.02153	0.45799
204.00474	0.45822
203.98796	0.45846
203.97119	0.4587
203.95441	0.45895
203.93764	0.4592
203.92087	0.45945
203.90411	0.4597
203.88734	0.45995
203.87058	0.46021
203.85382	0.46047
203.83707	0.46074
203.82032	0.46101
203.80357	0.46128
203.78682	0.46155
203.77008	0.46182
203.75333	0.4621
203.73659	0.46238
203.71986	0.46266
203.70313	0.46295
203.6864	0.46324
203.66967	0.46353
203.65294	0.46382
203.63622	0.46412
203.6195	0.46442
203.60245	0.46472
203.58574	0.46503
203.56902	0.46533
203.55232	0.46564
203.53561	0.46594
203.51891	0.46625
203.50221	0.46655
203.48551	0.46685
203.46882	0.46715
203.45212	0.46745
203.43543	0.46775
203.41875	0.46805
203.40206	0.46835
203.38538	0.46865
203.3687	0.46895
203.35203	0.46925
203.33536	0.46954
203.31869	0.46984
203.30202	0.47014
203.28535	0.47043
203.26869	0.47073
203.25203	0.47102
203.23538	0.47131
203.21872	0.47161
203.20207	0.4719
203.18542	0.47219
203.16878	0.47248
203.15213	0.47277
203.13549	0.47306
203.11886	0.47335
203.10222	0.47364
203.08559	0.47393
203.06896	0.47421
203.05234	0.4745
203.03571	0.47479
203.01909	0.47507
203.00247	0.47536
202.98586	0.47564
202.96924	0.47592
202.95263	0.47621
202.93569	0.47649
202.91909	0.47677
202.90249	0.47705
202.88589	0.47733
202.86929	0.47762
202.8527	0.47789
202.83611	0.47817
202.81952	0.47845
202.80293	0.47873
202.78635	0.47901
202.76977	0.47929
202.75319	0.47957
202.73662	0.47985
202.72005	0.48013
202.70348	0.48041
202.68691	0.48069
202.67035	0.48097
202.65378	0.48126
202.63723	0.48158
202.62067	0.48191
202.60412	0.48226
202.58757	0.48262
202.57102	0.483
202.55447	0.4834
202.53793	0.48382
202.52139	0.48425
202.50485	0.48469
202.48832	0.48516
202.47179	0.48564
202.45526	0.48614
202.43873	0.48665
202.42221	0.48718
202.40569	0.48773
202.38917	0.48829
202.37266	0.48887
202.35614	0.48947
202.33963	0.49008
202.32313	0.49071
202.30662	0.49136
202.29012	0.49202
202.27329	0.4927
202.25679	0.4934
202.2403	0.49411
202.22381	0.49484
202.20732	0.49558
202.19084	0.49634
202.17435	0.49711
202.15787	0.4979
202.14139	0.49871
202.12492	0.49953
202.10845	0.50036
202.09198	0.50121
202.07551	0.50207
202.05905	0.50295
202.04259	0.50384
202.02613	0.50475
202.00967	0.50567
201.99322	0.50661
201.97677	0.50756
201.96032	0.50853
201.94387	0.50952
201.92743	0.51052
201.91099	0.51153
201.89455	0.51254
201.87812	0.51355
201.86169	0.51457
201.84526	0.51559
201.82883	0.51661
201.81241	0.51763
201.79598	0.51866
201.77957	0.51969
201.76315	0.52072
201.74674	0.52175
201.73033	0.52279
201.71392	0.52383
201.69751	0.52487
