Wavelenght	Refractive Index
263	3.294729764
263.1666667	3.293040059
263.3333333	3.291368187
263.5	3.28971532
263.6666667	3.288082628
263.8333333	3.286471287
264	3.284856221
264.1666667	3.283207395
264.3333333	3.281527272
264.5	3.279818401
264.6666667	3.278083333
264.8333333	3.276324623
265	3.274544835
265.1666667	3.272746533
265.3333333	3.27093229
265.5	3.269104684
265.6666667	3.267266295
265.8333333	3.265419715
266	3.263567535
266.1666667	3.261712356
266.3333333	3.259856785
266.5	3.258003433
266.6666667	3.256154917
266.8333333	3.254313861
267	3.252482895
267.1666667	3.250664653
267.3333333	3.248861777
267.5	3.247076913
267.6666667	3.245312714
267.8333333	3.243571836
268	3.241856943
268.1666667	3.240170702
268.3333333	3.238515785
268.5	3.236894871
268.6666667	3.235310639
268.8333333	3.233765625
269	3.232262306
269.1666667	3.230803381
269.3333333	3.229391557
269.5	3.228029542
269.6666667	3.226720047
269.8333333	3.225465785
270	3.22426947
270.1666667	3.223133816
270.3333333	3.222061538
270.5	3.221055351
270.6666667	3.22011797
270.8333333	3.219252107
271	3.218460472
271.1666667	3.217745775
271.3333333	3.21711072
271.5	3.216558009
271.6666667	3.216083232
271.8333333	3.215636411
272	3.215206876
272.1666667	3.214794054
272.3333333	3.214397368
272.5	3.214016245
272.6666667	3.213650107
272.8333333	3.213298378
273	3.212960479
273.1666667	3.212635831
273.3333333	3.212323856
273.5	3.212023973
273.6666667	3.211735602
273.8333333	3.21145816
274	3.211191067
274.1666667	3.21093374
274.3333333	3.210685595
274.5	3.21044605
274.6666667	3.21021452
274.8333333	3.209990422
275	3.209773169
275.1666667	3.209562178
