"Wavelength (nm)"	Reflectance
950	0.2805761
951	0.280055
952	0.2795324
953	0.2790082
954	0.2784852
955	0.2779672
956	0.2774477
957	0.2769267
958	0.2764042
959	0.2758801
960	0.2753547
961	0.2748277
962	0.2742994
963	0.2737697
964	0.2732385
965	0.272706
966	0.2721722
967	0.2716369
968	0.2711004
969	0.2705626
970	0.2700235
971	0.2694832
972	0.2689415
973	0.2683987
974	0.2678546
975	0.2673094
976	0.2667629
977	0.2662154
978	0.2656666
979	0.2651168
980	0.2645658
981	0.2640137
982	0.2634605
983	0.2629064
984	0.2623511
985	0.2617948
986	0.2612376
987	0.2606792
988	0.26012
989	0.2595598
990	0.2589986
991	0.2584365
992	0.2578735
993	0.2573095
994	0.2567448
995	0.2561791
996	0.2556126
997	0.2550452
998	0.2544771
999	0.2539081
1000	0.2533384
