Wavelength(nm)	n	k
7.570000e+02	2.098050	0.000000
7.580000e+02	2.097991	0.000000
7.590000e+02	2.097932	0.000000
7.600000e+02	2.097874	0.000000
7.610000e+02	2.097816	0.000000
7.620000e+02	2.097758	0.000000
7.630000e+02	2.097700	0.000000
7.640000e+02	2.097643	0.000000
7.650000e+02	2.097585	0.000000
7.660000e+02	2.097528	0.000000
7.670000e+02	2.097472	0.000000
7.680000e+02	2.097415	0.000000
7.690000e+02	2.097359	0.000000
7.700000e+02	2.097303	0.000000
7.710000e+02	2.097247	0.000000
7.720000e+02	2.097191	0.000000
7.730000e+02	2.097136	0.000000
7.740000e+02	2.097081	0.000000
7.750000e+02	2.097026	0.000000
7.760000e+02	2.096971	0.000000
7.770000e+02	2.096916	0.000000
7.780000e+02	2.096862	0.000000
7.790000e+02	2.096808	0.000000
7.800000e+02	2.096754	0.000000
7.810000e+02	2.096701	0.000000
7.820000e+02	2.096647	0.000000
7.830000e+02	2.096594	0.000000
7.840000e+02	2.096541	0.000000
7.850000e+02	2.096488	0.000000
7.860000e+02	2.096435	0.000000
7.870000e+02	2.096383	0.000000
7.880000e+02	2.096331	0.000000
7.890000e+02	2.096279	0.000000
7.900000e+02	2.096227	0.000000
7.910000e+02	2.096176	0.000000
7.920000e+02	2.096124	0.000000
7.930000e+02	2.096073	0.000000
7.940000e+02	2.096022	0.000000
7.950000e+02	2.095971	0.000000
7.960000e+02	2.095921	0.000000
7.970000e+02	2.095870	0.000000
7.980000e+02	2.095820	0.000000
7.990000e+02	2.095770	0.000000
8.000000e+02	2.095720	0.000000
8.010000e+02	2.095671	0.000000
8.020000e+02	2.095622	0.000000
8.030000e+02	2.095572	0.000000
8.040000e+02	2.095523	0.000000
8.050000e+02	2.095474	0.000000
8.060000e+02	2.095426	0.000000
8.070000e+02	2.095377	0.000000
8.080000e+02	2.095329	0.000000
8.090000e+02	2.095281	0.000000
8.100000e+02	2.095233	0.000000
8.110000e+02	2.095185	0.000000
