Wavelength(nm)	R_simulated	R_experimental
3.430000e+02	0.068552	0.040280
3.432500e+02	0.072318	0.039980
3.435000e+02	0.076198	0.040550
3.437500e+02	0.080188	0.040430
3.440000e+02	0.084283	0.040240
3.442500e+02	0.088479	0.040530
3.445000e+02	0.092770	0.040440
3.447500e+02	0.097152	0.040430
3.450000e+02	0.101620	0.040920
3.452500e+02	0.106169	0.041030
3.455000e+02	0.110794	0.041040
3.457500e+02	0.115492	0.041500
3.460000e+02	0.120257	0.041970
3.462500e+02	0.125085	0.042450
3.465000e+02	0.129973	0.042840
3.467500e+02	0.134915	0.043000
3.470000e+02	0.139909	0.043330
3.472500e+02	0.144949	0.043720
3.475000e+02	0.150033	0.044300
3.477500e+02	0.155156	0.045220
3.480000e+02	0.160316	0.045930
3.482500e+02	0.165509	0.046680
3.485000e+02	0.170731	0.047560
3.487500e+02	0.175979	0.048420
3.490000e+02	0.181251	0.049370
3.492500e+02	0.186544	0.049860
3.495000e+02	0.191856	0.050440
3.497500e+02	0.197183	0.051600
3.500000e+02	0.202524	0.052850
3.502500e+02	0.207876	0.053650
3.505000e+02	0.213236	0.054480
3.507500e+02	0.218604	0.055670
3.510000e+02	0.223976	0.056880
3.512500e+02	0.229352	0.057970
3.515000e+02	0.234729	0.059360
3.517500e+02	0.240106	0.060340
3.520000e+02	0.245482	0.061170
3.522500e+02	0.250854	0.062600
3.525000e+02	0.256222	0.063980
3.527500e+02	0.261584	0.065070
3.530000e+02	0.266939	0.066060
3.532500e+02	0.272286	0.067320
3.535000e+02	0.277623	0.068860
3.537500e+02	0.282950	0.070360
3.540000e+02	0.288265	0.071920
3.542500e+02	0.293566	0.073150
3.545000e+02	0.298853	0.074090
3.547500e+02	0.304126	0.075870
3.550000e+02	0.309381	0.077510
3.552500e+02	0.314617	0.078520
3.555000e+02	0.319837	0.080090
3.557500e+02	0.325034	0.081860
3.560000e+02	0.330206	0.083270
3.562500e+02	0.335357	0.084930
3.565000e+02	0.340483	0.086280
3.567500e+02	0.345573	0.088020
3.570000e+02	0.350634	0.090110
3.572500e+02	0.355671	0.091270
3.575000e+02	0.360680	0.092280
3.577500e+02	0.365651	0.094020
3.580000e+02	0.370579	0.095950
3.582500e+02	0.375468	0.097300
3.585000e+02	0.380320	0.098940
3.587500e+02	0.385124	0.100700
3.590000e+02	0.389883	0.101970
3.592500e+02	0.394595	0.103720
