Energía	OFF	ON	Delta R/R		
5.70115	0.48086	0.48201	0.23912
5.69853	0.4809	0.48238	0.30725
5.69591	0.48101	0.48242	0.29291
5.6933	0.48088	0.48232	0.30004
5.69068	0.48122	0.48213	0.18992
5.68807	0.48049	0.48203	0.31955
5.68547	0.48009	0.4817	0.33394
5.68286	0.48016	0.48158	0.29519
5.68026	0.47973	0.48101	0.26586
5.67766	0.4794	0.48066	0.26341
5.67506	0.47896	0.48052	0.32355
5.67246	0.47857	0.48009	0.31507
5.66987	0.47799	0.47954	0.32396
5.66728	0.4773	0.47883	0.31905
5.66469	0.47674	0.47812	0.2888
5.6621	0.47617	0.47749	0.27658
5.65952	0.47526	0.4767	0.30315
5.65693	0.47461	0.47605	0.30192
5.65435	0.47357	0.475	0.29983
5.65178	0.47259	0.47438	0.37691
5.6492	0.47174	0.47331	0.33339
5.64663	0.47075	0.47215	0.29695
5.64406	0.46964	0.47125	0.34299
5.64149	0.46847	0.46994	0.31317
5.63893	0.46727	0.46885	0.33804
5.63636	0.46624	0.46744	0.25717
5.6338	0.46506	0.46652	0.31412
5.63124	0.46357	0.46499	0.30459
5.62869	0.46204	0.46339	0.29181
5.62613	0.461	0.46212	0.24294
5.62358	0.45911	0.46041	0.28315
5.62103	0.45768	0.45911	0.31168
5.61849	0.45585	0.45696	0.24296
5.61594	0.45441	0.45584	0.31427
5.6134	0.45237	0.4535	0.24973
5.61086	0.45095	0.45219	0.27324
5.60832	0.44897	0.45014	0.26022
5.60579	0.44664	0.44811	0.32779
5.60325	0.44477	0.44622	0.32486
5.60072	0.44278	0.44381	0.23245
5.59819	0.44114	0.44245	0.29682
5.59567	0.43855	0.44005	0.34189
5.59314	0.43692	0.43772	0.18381
5.59062	0.43451	0.43575	0.28558
5.5881	0.43219	0.43339	0.2761
5.58559	0.42981	0.43104	0.28515
5.58307	0.42758	0.42846	0.20514
5.58056	0.42539	0.42664	0.29227
5.57805	0.42306	0.42395	0.21135
5.57554	0.42104	0.42214	0.26106
5.57303	0.4177	0.41882	0.26972
5.57053	0.41484	0.4161	0.30258
5.56803	0.41269	0.41383	0.27473
5.56553	0.40929	0.41039	0.26924
5.56303	0.40679	0.40807	0.31397
5.56054	0.40384	0.40481	0.23925
5.55805	0.40185	0.40274	0.22119
5.55556	0.39802	0.3989	0.22222
5.55307	0.39573	0.39644	0.18034
5.55058	0.39215	0.39315	0.25508
5.5481	0.3889	0.38996	0.27223
5.54562	0.38571	0.38662	0.236
5.54314	0.38236	0.38305	0.17909
5.54066	0.37976	0.38024	0.12387
5.53819	0.37567	0.37634	0.17772
5.53571	0.37263	0.37329	0.1749
5.53324	0.36888	0.36957	0.18744
5.53078	0.36518	0.3656	0.11638
5.52831	0.36146	0.36208	0.17107
5.52585	0.35741	0.35821	0.22363
5.52339	0.35438	0.35503	0.18338
5.52093	0.34983	0.35045	0.17589
5.51847	0.34782	0.34881	0.28519
5.51601	0.34235	0.34321	0.2517
5.51356	0.33842	0.33942	0.29562
5.51111	0.33368	0.33474	0.31707
5.50866	0.33016	0.33106	0.27386
5.50622	0.32634	0.32729	0.29116
5.50377	0.32167	0.32252	0.26213
5.50133	0.31899	0.31987	0.27394
5.49889	0.31311	0.31404	0.29587
5.49645	0.30879	0.30981	0.32852
5.49402	0.30464	0.30544	0.26303
5.49159	0.29964	0.30048	0.28013
5.48915	0.29589	0.29665	0.2569
5.48673	0.29072	0.29155	0.28328
5.4843	0.28774	0.28864	0.31245
5.48187	0.28167	0.28245	0.27565
5.47945	0.27882	0.27968	0.31035
5.47703	0.27245	0.27336	0.33182
5.47461	0.26716	0.26804	0.3289
5.4722	0.26276	0.26353	0.29254
5.46978	0.2579	0.25887	0.37697
5.46737	0.25405	0.25453	0.18816
5.46496	0.24838	0.24898	0.24339
5.46256	0.24498	0.24603	0.42512
5.46015	0.2387	0.23947	0.32473
5.45775	0.23263	0.23318	0.23562
5.45535	0.22809	0.22846	0.16184
5.45295	0.2235	0.22401	0.22916
5.45055	0.21922	0.21979	0.26118
5.44815	0.2134	0.21409	0.3225
5.44576	0.21019	0.21115	0.45677
5.44337	0.20371	0.20446	0.37071
5.44098	0.19756	0.19802	0.23467
5.4386	0.19282	0.19326	0.22603
5.43621	0.18836	0.18902	0.3498
5.43383	0.18423	0.18451	0.15589
5.43145	0.17831	0.17893	0.34806
5.42907	0.17654	0.17714	0.33631
5.4267	0.16889	0.16942	0.31206
5.42432	0.16431	0.16477	0.28368
5.42195	0.15904	0.15951	0.2924
5.41958	0.15424	0.15473	0.31613
5.41721	0.1499	0.15024	0.22498
5.41485	0.14499	0.14551	0.35966
5.41248	0.14242	0.14278	0.25645
5.41012	0.13565	0.13611	0.34343
5.40776	0.13161	0.13197	0.27088
5.40541	0.12666	0.12697	0.24381
5.40305	0.12247	0.12263	0.13074
5.4007	0.11828	0.11849	0.17211
5.39835	0.11399	0.11421	0.19375
5.396	0.11169	0.11203	0.30636
5.39365	0.10603	0.10622	0.17615
5.3913	0.10225	0.10234	0.09425
