Energy (eV),n (Simulated),k (Simulated)
14.844611528822055,1.125873101373868,0.4739191494277252
14.887218045112782,1.1234680094535998,0.4727939244724864
14.929824561403509,1.1211162057965967,0.4716075323288045
14.972431077694235,1.1188167352165157,0.47036830592705664
15.015037593984962,1.1165684244715752,0.4690837111258794
15.057644110275689,1.1143699482251903,0.4677603988144297
15.100250626566416,1.1122198820127958,0.4664042615996651
15.142857142857142,1.1101167442907764,0.46502049297742926
15.185463659147869,1.1080590293843082,0.463613647283713
15.228070175438596,1.1060452329053925,0.46218769906227286
15.270676691729323,1.1040738709870113,0.46074610077758177
15.31328320802005,1.1021434944771724,0.4592918380551271
15.355889724310776,1.100252699058258,0.45782748184946226
15.398496240601503,1.098400132101754,0.45635523712771137
15.44110275689223,1.0965844969344007,0.45487698781522196
15.483709273182956,1.0948045550769958,0.4533943378830674
15.526315789473683,1.0930591269192573,0.4519086485662898
15.56892230576441,1.091347091211148,0.4504210717892462
15.611528822055137,1.0896673836808402,0.44893257994233904
15.654135338345863,1.0880189950302888,0.447443992204938
15.69674185463659,1.0864009685095546,0.4459559976446173
15.739348370927317,1.084812397229292,0.4444691753451225
15.781954887218044,1.0832524213359414,0.442984011826808
15.82456140350877,1.081720225145246,0.4415009160256498
15.867167919799497,1.080215034305836,0.44002023209216473
15.909774436090224,1.0787361130450999,0.43854225026131965
15.952380952380953,1.0772827615337608,0.43706721603027726
15.99498746867168,1.0758543133929377,0.4355953378638626
16.037593984962406,1.0744501906909425,0.43412660662007657
16.08020050125313,1.0730699113993154,0.43266079387897893
16.12280701754386,1.07171266285058,0.43119879668646144
16.165413533834588,1.0703779014204922,0.4297406829606766
16.208020050125313,1.0690651048132127,0.428286516881609
16.250626566416038,1.0677737708501607,0.42683635910164514
16.293233082706767,1.0665034163456846,0.4253902669402881
16.335839598997495,1.0652535760622004,0.42394829456452227
16.37844611528822,1.0640238017381631,0.4225104931561622
16.421052631578945,1.0628136611828611,0.42107691106738154
16.463659147869674,1.0616227374325975,0.4196475939654813
16.506265664160402,1.0604506279633208,0.418222584967845
16.548872180451127,1.0592969439552264,0.41680192476793193
16.591478696741852,1.058161309605256,0.4153856517530693
16.63408521303258,1.0570433614837837,0.41397380211472584
16.67669172932331,1.0559427479321148,0.4125664099518862
16.719298245614034,1.0548591284977071,0.41116350736807517
16.76190476190476,1.0537921734043076,0.4097651245625388
16.804511278195488,1.0527415630544217,0.4083712899160318
16.847117794486216,1.0517069875617646,0.40698203007162387
16.88972431077694,1.050688146311534,0.4055973700108969
16.932330827067666,1.0496847475465185,0.4042173331258707
16.974937343358395,1.0486965079772341,0.4028419412869696
17.017543859649123,1.0477231524144073,0.4014712149073064
17.06015037593985,1.0467644134222733,0.4001051730035439
17.102756892230573,1.0458200309912749,0.3987438332535676
17.145363408521302,1.0448897522288514,0.3973872120511852
17.18796992481203,1.0439733310671226,0.3960353245580499
17.230576441102755,1.0430705279863512,0.3946881847529896
17.27318295739348,1.0421811097531588,0.39334580547890696
17.31578947368421,1.041304849172547,0.3920081984874065
17.358395989974937,1.0404415248528431,0.39067537448128864
17.401002506265662,1.039590920982759,0.3893473431550422
17.44360902255639,1.0387528271198052,0.38802411323345404
17.48621553884712,1.0379270379893613,0.38670569250845216
17.528822055137844,1.0371133532937553,0.38539208787428264
17.57142857142857,1.0363115775307405,0.3840833053611159
17.614035087719298,1.0355215198208167,0.38277935016717585
17.656641604010026,1.0347429937428638,0.3814802266894707
