Energy (eV),n,k
6.181181,2.781993,1.286176
6.189189,2.781079,1.290857
6.197197,2.780208,1.295569
6.205205,2.779379,1.300314
6.213213,2.778595,1.305097
6.221221,2.777854,1.309922
6.229229,2.777158,1.314793
6.237237,2.776505,1.319714
6.245245,2.775897,1.324690
6.253253,2.775333,1.329724
6.261261,2.774811,1.334823
6.269269,2.774332,1.339990
6.277277,2.773895,1.345230
6.285285,2.773498,1.350550
6.293293,2.773139,1.355953
6.301301,2.772818,1.361445
6.309309,2.772531,1.367031
6.317317,2.772277,1.372717
6.325325,2.772052,1.378509
6.333333,2.771854,1.384412
6.341341,2.771680,1.390431
6.349349,2.771525,1.396573
6.357357,2.771386,1.402843
6.365365,2.771258,1.409247
6.373373,2.771135,1.415790
6.381381,2.771013,1.422479
6.389389,2.770885,1.429318
6.397397,2.770746,1.436314
6.405405,2.770587,1.443472
6.413413,2.770403,1.450797
6.421421,2.770184,1.458293
6.429429,2.769923,1.465967
6.437437,2.769611,1.473823
6.445445,2.769238,1.481864
6.453453,2.768793,1.490095
6.461461,2.768267,1.498519
6.469469,2.767648,1.507139
6.477477,2.766925,1.515959
6.485485,2.766085,1.524980
6.493493,2.765115,1.534203
6.501502,2.764003,1.543629
6.509510,2.762734,1.553259
6.517518,2.761294,1.563091
6.525526,2.759669,1.573124
6.533534,2.757843,1.583356
6.541542,2.755802,1.593783
6.549550,2.753529,1.604400
6.557558,2.751009,1.615203
6.565566,2.748226,1.626183
6.573574,2.745163,1.637334
6.581582,2.741806,1.648646
6.589590,2.738137,1.660108
6.597598,2.734142,1.671710
6.605606,2.729805,1.683437
6.613614,2.725111,1.695276
6.621622,2.720046,1.707210
6.629630,2.714597,1.719223
6.637638,2.708751,1.731295
6.645646,2.702496,1.743408
6.653654,2.695822,1.755540
6.661662,2.688720,1.767668
6.669670,2.681180,1.779770
6.677678,2.673198,1.791821
6.685686,2.664768,1.803796
6.693694,2.655887,1.815669
6.701702,2.646555,1.827414
6.709710,2.636771,1.839002
6.717718,2.626539,1.850408
6.725726,2.615862,1.861602
6.733734,2.604749,1.872559
6.741742,2.593208,1.883250
6.749750,2.581251,1.893649
6.757758,2.568889,1.903729
6.765766,2.556139,1.913466
6.773774,2.543017,1.922835
6.781782,2.529543,1.931813
6.789790,2.515737,1.940379
6.797798,2.501622,1.948511
6.805806,2.487220,1.956193
6.813814,2.472558,1.963406
6.821822,2.457662,1.970137
6.829830,2.442558,1.976372
6.837838,2.427274,1.982100
6.845846,2.411840,1.987314
6.853854,2.396283,1.992006
6.861862,2.380634,1.996172
6.869870,2.364920,1.999810
6.877878,2.349170,2.002919
6.885886,2.333414,2.005502
6.893894,2.317679,2.007561
6.901902,2.301991,2.009102
6.909910,2.286379,2.010133
6.917918,2.270866,2.010661
6.925926,2.255478,2.010698
6.933934,2.240238,2.010255
6.941942,2.225167,2.009344
6.949950,2.210288,2.007981
6.957958,2.195619,2.006179
6.965966,2.181178,2.003954
6.973974,2.166983,2.001323
6.981982,2.153050,1.998304
6.989990,2.139391,1.994913
6.997998,2.126021,1.991168
7.006006,2.112951,1.987089
7.014014,2.100191,1.982692
7.022022,2.087750,1.977997
7.030030,2.075637,1.973022
7.038038,2.063857,1.967786
