omega,n,k
13.371371,0.559863,1.406770
13.385385,0.555997,1.405041
13.399399,0.552268,1.403140
13.413413,0.548672,1.401088
13.427427,0.545206,1.398908
13.441441,0.541862,1.396619
13.455455,0.538636,1.394236
13.469469,0.535521,1.391776
13.483483,0.532510,1.389252
13.497497,0.529600,1.386674
13.511512,0.526782,1.384053
13.525526,0.524053,1.381397
13.539540,0.521407,1.378715
13.553554,0.518839,1.376011
13.567568,0.516346,1.373291
13.581582,0.513923,1.370560
13.595596,0.511566,1.367822
13.609610,0.509273,1.365080
13.623624,0.507040,1.362336
13.637638,0.504864,1.359592
13.651652,0.502743,1.356851
13.665666,0.500675,1.354113
13.679680,0.498657,1.351380
13.693694,0.496688,1.348653
13.707708,0.494765,1.345933
13.721722,0.492888,1.343219
13.735736,0.491053,1.340513
13.749750,0.489262,1.337815
13.763764,0.487510,1.335125
13.777778,0.485799,1.332443
13.791792,0.484126,1.329770
13.805806,0.482490,1.327105
13.819820,0.480890,1.324449
13.833834,0.479326,1.321802
13.847848,0.477795,1.319163
13.861862,0.476299,1.316533
13.875876,0.474835,1.313912
13.889890,0.473403,1.311299
13.903904,0.472001,1.308695
13.917918,0.470631,1.306099
13.931932,0.469289,1.303512
13.945946,0.467977,1.300933
13.959960,0.466693,1.298363
13.973974,0.465436,1.295801
13.987988,0.464206,1.293248
14.002002,0.463003,1.290703
14.016016,0.461825,1.288166
14.030030,0.460673,1.285637
14.044044,0.459545,1.283116
14.058058,0.458442,1.280603
14.072072,0.457362,0.189895
14.086086,0.456305,0.189563
14.100100,0.455271,0.189232
14.114114,0.454260,0.188903
14.128128,0.453270,0.188575
14.142142,0.452301,0.188248
14.156156,0.451353,0.187923
14.170170,0.450426,0.187600
14.184184,0.449519,0.187277
14.198198,0.448632,0.186957
14.212212,0.447764,0.186637
14.226226,0.446915,0.186319
14.240240,0.446084,0.186002
14.254254,0.445272,0.185687
14.268268,0.444478,0.185372
14.282282,0.443701,0.185059
14.296296,0.442942,0.184747
14.310310,0.442199,0.184437
14.324324,0.441473,0.184128
14.338338,0.440764,0.183820
14.352352,0.440071,0.183513
14.366366,0.439393,0.183207
14.380380,0.438731,0.182902
14.394394,0.438084,0.182599
14.408408,0.437452,0.182297
14.422422,0.436835,0.181996
14.436436,0.436232,0.181696
14.450450,0.435643,0.181397
14.464464,0.435069,0.181099
14.478478,0.434508,0.180802
14.492492,0.433960,0.180507
14.506507,0.433426,0.180212
14.520521,0.432905,0.179918
14.534535,0.432397,0.179626
14.548549,0.431901,0.179334
14.562563,0.431418,0.179044
14.576577,0.430947,0.178754
14.590591,0.430488,0.178466
14.604605,0.430041,0.178178
14.618619,0.429606,0.177891
14.632633,0.429182,0.177606
14.646647,0.428769,0.177321
14.660661,0.428367,0.177037
14.674675,0.427977,0.176754
14.688689,0.427597,0.176472
14.702703,0.427227,0.176191
14.716717,0.426869,0.175911
14.730731,0.426520,0.175632
14.744745,0.426181,0.175354
14.758759,0.425853,0.175076
14.772773,0.425534,0.174800
14.786787,0.425225,0.174524
14.800801,0.424926,0.174249
14.814815,0.424635,0.173975
14.828829,0.424355,0.173702
14.842843,0.424083,0.173430
14.856857,0.423820,0.173158
14.870871,0.423566,0.172887
14.884885,0.423321,0.172617
14.898899,0.423084,0.172348
14.912913,0.422856,0.172080
14.926927,0.422636,0.171812
14.940941,0.422424,0.171546
14.954955,0.422221,0.171280
14.968969,0.422025,0.171015
14.982983,0.421837,0.170750
14.996997,0.421657,0.170486
15.011011,0.421485,0.170224
15.025025,0.421320,0.169961
15.039039,0.421163,0.169700
15.053053,0.421013,0.169439
15.067067,0.420870,0.169179
15.081081,0.420734,0.168920
15.095095,0.420606,0.168662
15.109109,0.420484,0.168404
15.123123,0.420369,0.168147
15.137137,0.420261,0.167890
15.151151,0.420160,0.167635
15.165165,0.420065,0.167380
15.179179,0.419977,0.167126
